"","Date","Short","Long","Spread","Short_koef","Long_koef","Spread_koef"
"546",2010-12-15,92.22,92.29,-0.0700000000000074,0.0100262391776367,0.00881542412290504,0.00121081505473164
"547",2010-12-16,91.89,91.83,0.0600000000000023,-0.0035848172657662,-0.0049967516520546,0.00141193438628839
"548",2010-12-17,91.91,92.2,-0.290000000000006,0.000217627857225011,0.00402108893711706,-0.00380346107989205
"549",2010-12-20,91.28,91.46,-0.179999999999993,-0.00687813181619834,-0.00805841233263926,0.00118028051644092
"550",2010-12-21,92.89,92.79,0.0999999999999943,0.0174842918456095,0.0144371571351796,0.00304713471042994
"551",2010-12-22,93.8,93.64,0.159999999999997,0.00974885861274899,0.00911876725762184,0.000630091355127149
"552",2010-12-23,93.7,93.56,0.140000000000001,-0.00106666676780254,-0.00085470090673212,-0.000211965861070418
"553",2010-12-24,93.49,93.01,0.47999999999999,-0.00224371054115213,-0.00589592746160239,0.00365221692045026
"554",2010-12-27,93.4,93.17,0.230000000000004,-0.000963133468427024,0.00171876720795794,-0.00268190067638496
"555",2010-12-28,94.15,93.95,0.200000000000003,0.00799790986836424,0.00833694439714083,-0.000339034528776594
"556",2010-12-29,94.22,94.09,0.129999999999995,0.000743218168733684,0.00148904515920023,-0.000745826990466547
"557",2010-12-30,93.41,93.31,0.0999999999999943,-0.00863406738713746,-0.00832448777274397,-0.000309579614393485
"558",2011-01-11,96.62,96.32,0.300000000000011,0.0337873532415029,0.0317486983145798,0.00203865492692312
"559",2011-01-12,98.4,97.8,0.600000000000009,0.018255044931947,0.0152485954802613,0.00300644945168571
"560",2011-01-13,97.9,97.11,0.790000000000006,-0.00509425452174295,-0.00708022043450907,0.00198596591276612
"561",2011-01-14,98.76,98.15,0.609999999999999,0.00874611494051436,0.0106525641162074,-0.00190644917569305
"562",2011-01-17,97.77,97.77,0,-0.0100748829593993,-0.00387913920489069,-0.0061957437545086
"563",2011-01-18,97.38,97.38,0,-0.00399693076302476,-0.00399693076302476,0
"564",2011-01-19,97.65,97.65,0,0.00276880656813372,0.00276880656813372,0
"565",2011-01-20,95.8,95.8,0,-0.019126972345874,-0.019126972345874,0
"566",2011-01-21,97.17,97.17,0,0.0141993368745332,0.0141993368745332,0
"567",2011-01-24,97.67,97.67,0,0.00513242760803845,0.00513242760803845,0
"568",2011-01-25,95.38,95.38,0,-0.0237255365893079,-0.0237255365893079,0
"569",2011-01-26,96.7,96.7,0,0.0137444895891701,0.0137444895891701,0
"570",2011-01-27,98.65,98.65,0,0.0199648300093758,0.0199648300093758,0
"571",2011-01-28,97.94,97.94,0,-0.0072231861944525,-0.0072231861944525,0
"572",2011-01-31,99.42,99.42,0,0.0149982543923546,0.0149982543923546,0
"573",2011-02-01,101.3,101.42,-0.120000000000005,0.0187331105881112,0.0199170097003467,-0.00118389911223549
"574",2011-02-02,102.16,102.57,-0.409999999999997,0.00845380046964639,0.0112751819524464,-0.00282138148279998
"575",2011-02-03,102.07,102.46,-0.390000000000001,-0.000881359308876561,-0.00107301380826286,0.000191654499386296
"576",2011-02-04,101.51,101.91,-0.399999999999991,-0.00550153661906716,-0.00538240767045384,-0.000119128948613323
"577",2011-02-07,99.91,99.91,0,-0.0158875350514132,-0.0198202900956757,0.00393275504426249
"578",2011-02-08,99.73,99.73,0,-0.00180324633114992,-0.00180324633114992,0
"579",2011-02-09,100.98,101.49,-0.509999999999991,0.0124559430169926,0.0174937370469497,-0.00503779402995708
"580",2011-02-10,101.32,101.9,-0.580000000000013,0.0033613477027048,0.00403166876795247,-0.00067032106524767
"581",2011-02-11,101.49,101.97,-0.480000000000004,0.00167644632725228,0.000686712147455637,0.000989734179796642
"582",2011-02-14,103.56,103.91,-0.349999999999994,0.0201908834226101,0.0188464874884202,0.00134439593418989
"583",2011-02-15,102.86,103.14,-0.280000000000001,-0.00678231453656686,-0.00743785124174234,0.000655536705175486
"584",2011-02-16,102.71,103.02,-0.310000000000002,-0.00145935716905665,-0.00116414448537316,-0.000295212683683488
"585",2011-02-17,103.47,103.75,-0.280000000000001,0.00737223243914631,0.00706101497336853,0.00031121746577778
