"Indicator"
"Inflation, consumer prices (annual %)"
"Inflation, GDP deflator (annual %)"
"GDP growth (annual %)"
"Broad money growth (annual %)"
"Exports of goods and services (annual % growth)"
"General government final consumption expenditure (annual % growth)"
"Gross capital formation (annual % growth)"
"Inflation, GDP deflator: linked series (annual %)"
"Household final consumption expenditure (annual % growth)"
"Imports of goods and services (annual % growth)"
"Population growth (annual %)"
"Services, etc., value added (annual % growth)"
"Industry, value added (annual % growth)"
