Date,Open,High,Low,Close,Adj Close,Volume
2014-12-31,112.820000,113.129997,110.209999,110.379997,104.488365,41403400
2015-01-02,111.389999,111.440002,107.349998,109.330002,103.494423,53204600
2015-01-05,108.290001,108.650002,105.410004,106.250000,100.578819,64285500
2015-01-06,106.540001,107.430000,104.629997,106.260002,100.588287,65797100
2015-01-07,107.199997,108.199997,106.699997,107.750000,101.998764,40105900
2015-01-08,109.230003,112.150002,108.699997,111.889999,105.917770,59364500
2015-01-09,112.669998,113.250000,110.209999,112.010002,106.031380,53699500
2015-01-12,112.599998,112.629997,108.800003,109.250000,103.418694,49650800
2015-01-13,111.430000,112.800003,108.910004,110.220001,104.336922,67091900
2015-01-14,109.040001,110.489998,108.500000,109.800003,103.939339,48337000
2015-01-15,110.000000,110.059998,106.660004,106.820000,101.118393,60014000
2015-01-16,107.029999,107.580002,105.199997,105.989998,100.332695,78513300
2015-01-20,107.839996,108.970001,106.500000,108.720001,102.916985,49899900
2015-01-21,108.949997,111.059998,108.269997,109.550003,103.702690,48575900
2015-01-22,110.260002,112.470001,109.720001,112.400002,106.400558,53796400
2015-01-23,112.300003,113.750000,111.529999,112.980003,106.949615,46464800
2015-01-26,113.739998,114.360001,112.800003,113.099998,107.063194,55615000
2015-01-27,112.419998,112.480003,109.029999,109.139999,103.314560,95568700
2015-01-28,117.629997,118.120003,115.309998,115.309998,109.155235,146477100
2015-01-29,116.320000,119.190002,115.559998,118.900002,112.553627,84436400
2015-01-30,118.400002,120.000000,116.849998,117.160004,110.906487,83745500
2015-02-02,118.050003,119.169998,116.080002,118.629997,112.298027,62739100
2015-02-03,118.500000,119.089996,117.610001,118.650002,112.316956,51915700
2015-02-04,118.500000,120.510002,118.309998,119.559998,113.178398,70149700
2015-02-05,120.019997,120.230003,119.250000,119.940002,113.986198,42246200
2015-02-06,120.019997,120.250000,118.449997,118.930000,113.026321,43706600
2015-02-09,118.550003,119.839996,118.430000,119.720001,113.777115,38889800
2015-02-10,120.169998,122.150002,120.160004,122.019997,115.962944,62008500
2015-02-11,122.769997,124.919998,122.500000,124.879997,118.680969,73561800
2015-02-12,126.059998,127.480003,125.570000,126.459999,120.182549,74474500
2015-02-13,127.279999,127.279999,125.650002,127.080002,120.771774,54272200
2015-02-17,127.489998,128.880005,126.919998,127.830002,121.484528,63152400
2015-02-18,127.629997,128.779999,127.449997,128.720001,122.330368,44891700
2015-02-19,128.479996,129.029999,128.330002,128.449997,122.073753,37362400
2015-02-20,128.619995,129.500000,128.050003,129.500000,123.071655,48948400
2015-02-23,130.020004,133.000000,129.660004,133.000000,126.397896,70974100
2015-02-24,132.940002,133.600006,131.169998,132.169998,125.609108,69228100
2015-02-25,131.559998,131.600006,128.149994,128.789993,122.396896,74711700
2015-02-26,128.789993,130.869995,126.610001,130.419998,123.945969,91287500
2015-02-27,130.000000,130.570007,128.240005,128.460007,122.083282,62014800
2015-03-02,129.250000,130.279999,128.300003,129.089996,122.681992,48096700
2015-03-03,128.960007,129.520004,128.089996,129.360001,122.938591,37816300
2015-03-04,129.100006,129.559998,128.320007,128.539993,122.159286,31666300
2015-03-05,128.580002,128.750000,125.760002,126.410004,120.135040,56517100
2015-03-06,128.399994,129.369995,126.260002,126.599998,120.315590,72842100
2015-03-09,127.959999,129.570007,125.059998,127.139999,120.828789,88528500
2015-03-10,126.410004,127.220001,123.800003,124.510002,118.329346,68856600
2015-03-11,124.750000,124.769997,122.110001,122.239998,116.172012,68939000
2015-03-12,122.309998,124.900002,121.629997,124.449997,118.272308,48362700
2015-03-13,124.400002,125.400002,122.580002,123.589996,117.455009,51827300
2015-03-16,123.879997,124.949997,122.870003,124.949997,118.747498,35874300
2015-03-17,125.900002,127.320000,125.650002,127.040001,120.733749,51023100
2015-03-18,127.000000,129.160004,126.370003,128.470001,122.092766,65270900
2015-03-19,128.750000,129.250000,127.400002,127.500000,121.170929,45809500
2015-03-20,128.250000,128.399994,125.160004,125.900002,119.650352,68695100
2015-03-23,127.120003,127.849998,126.519997,127.209999,120.895317,37709700
2015-03-24,127.230003,128.039993,126.559998,126.690002,120.401131,32842300
2015-03-25,126.540001,126.820000,123.379997,123.379997,117.255447,51655200
2015-03-26,122.760002,124.879997,122.599998,124.239998,118.072762,47572900
2015-03-27,124.570000,124.699997,122.910004,123.250000,117.131897,39546200
